,name,description,number of rooms/floor,height
0,BR Ambedkar Hall,Residence,,
1,Meghnad Saha Hall,Residence,,
2,Central Library,Academic,,
3,Vinod Gupta School of Management,Academic,,
4,Electronics and Electrical Communication Engg.,Academic,,
5,Main Building,Academic,,
6,Civil Engineering,Academic,,
7,Mechanical Engineering,Academic,,
8,Nalanda,Academic,24,4
9,Aerospace Engineering,Academic,,
10,Materials Science Centre,Academic,,
11,Science Block,Academic,,
12,Steel Technology Centre,Academic,,
13,Mining Engineering,Academic,,
14,Water Works Section,Non_Academic,,
15,Telecom Centre,Academic,,
16,Advanced Technology Development Centre,Academic,,
17,Agricultural and Food Engineering,Academic,,
18,Architecture and Regional Planning,Academic,,
19,Biotechnology,Academic,,
20,Chemical Engineering,Academic,,
21,Computer Science and Engineering,Academic,,
22,Tagore Open Air Theatre,Non_Academic,1,1
23,Indian Railways Booking Counter,Non_Academic,,
24,Azad Hall,Residence,,
25,Industrial and Systems Engineering,Academic,,
26,Cryogenic Engineering Centre,Academic,,
27,Nehru Hall,Residence,,
28,Metallurgical and Materials Engineering,Academic,,
29,Patel Hall,Residence,,
30,Ocean Engg and Naval Architecture,Academic,,
31,HJB Hall,Residence,,
32,LBS Hall,Residence,,
33,MMM Hall,Residence,,
34,LLR Hall,Residence,,
35,RK Hall,Residence,,
36,RP Hall,Residence,,
37,JCB Hall,Residence,,
38,Theoretical Studies and Nehru Museum,Academic,,
39,VS Hall,Residence,,
40,ERP,Academic,,
41,RLB Hall,Residence,,
42,Central Research Facility,Academic,,
43,P.K. Sinha Centre for Bioenergy and Renewables,Academic,,
44,Workshops,Academic,,
45,Rubber Technology,Academic,,
46,MT Hall,Residence,,
47,Gokhale Hall,Residence,,
48,SAM Hall,Residence,,
49,BCR Hall,Residence,,
50,Sir J C Bose Laboratory Complex,Academic,,
51,Center for Rural Development and Innovative Sustainable Technology,Academic,,
52,Centre for Railway Research,Academic,,
53,SN/IG Hall,Residence,,
54,Vegies restaurant,Non_Academic,1,1
55,Smart Pind,Non_Academic,,
56,Baskin Robins,Non_Academic,,
57,Cafe Coffee Day,Non_Academic,,
58,Heritage,Non_Academic,1,1
59,CORAL,Academic,,
60,Amul,Non_Academic,,
61,Tennis Court,Non_Academic,1,1
62,PAN Loop Food Centre,Non_Academic,1,1
63,Hot and Spick,Non_Academic,1,1
64,Billoos,Non_Academic,1,1
65,Food City,Non_Academic,1,1
66,State Bank of India,Non_Academic,,
67,Post Office Kharagpur,Non_Academic,,
68,IIT Kharagpur Helipad,Non_Academic,,
69,Rabi Shop,Non_Academic,,
70,Children's Park,Non_Academic,1,1
71,Bikash Da's Canteen,Non_Academic,,
72,Lake Park,Non_Academic,1,1
73,Kendriya Vidyalaya,Academic,,
74,Technology Students Gymkhana,Non_Academic,,
75,IIT KGP Swimming Pool,Non_Academic,1,1
76,Gymkhana Lake/Park,Non_Academic,1,1
77,Jnan Ghosh Stadium,Non_Academic,1,1
78,Hall Management Centre,Non_Academic,,
79,Police Station,Non_Academic,1,1
80,Kalidas Auditorium,Non_Academic,,
81,Mechanical Training Workshop,Academic,,
82,Super Duper,Non_Academic,,
83,Vikramshila,Academic,4,2
84,Radhakanta Sweets,Non_Academic,,
85,Cold Roll Ice Cream,Non_Academic,,
86,Takshashila,Academic,,
87,Tech Market,Non_Academic,,
88,Peep Kitchen,Non_Academic,,
89,Dreamland,Non_Academic,,
90,Sahara Restaurant,Non_Academic,,
91,Centre of Excellence in Advanced Manufacturing Technology,Academic,,
92,BC Roy Hospital,Non_Academic,,
93,DAV Model School,Academic,,
94,Saint Agnes School,Academic,,
95,Hijili High School,Academic,,
96,Technology Guest House,Residence,,
97,Rajendra Mishra School of Engg Entrepreneurship,Academic,,
98,Innovation Lab of Mining Engineering,Academic,,
99,Sister Nivedita Hall,Residence,,
100,Tata Sports Complex,Non_Academic,1,1
101,Rajiv Gandhi School of Intellectual Property Law,Academic,,
102,V Guest House,Residence,,
103,VSRC,Residence,,
104,Volleyball and Basketball court,Non Academic,1,1
